model,params,training_seconds,loss,accuracy,precision_macro,recall_macro,f1_macro,top3_accuracy,checkpoint
bilstm,231077,2.7548745999993116,5.455583953857422,0.05555555555555555,0.02950412471689067,0.06365248226950354,0.03465061221631935,0.17777777777777778,artifacts\sequence_models\bilstm.pt
rnn,44325,2.5794644999987213,5.454262161254883,0.04814814814814815,0.027151211361737676,0.05185463659147869,0.031707705326737425,0.15925925925925927,artifacts\sequence_models\rnn.pt
lstm,118821,1.678686799999923,5.494345569610596,0.040740740740740744,0.019402054680187675,0.0354296066252588,0.02128055011350206,0.16296296296296298,artifacts\sequence_models\lstm.pt
